experiment,architecture,split,n_seeds,slot_accuracy_mean,slot_accuracy_std,exact_match_mean,exact_match_std
cot-sinusoidal,cot,id_test,3,1.0,0.0,1.0,0.0
cot-sinusoidal,cot,ood_x4,3,0.20493333333333333,0.004847909056719425,0.0,0.0
cot-sinusoidal,cot,ood_x8,3,0.2008,0.0019866219234335094,0.0,0.0
direct-long-lr5e-5,direct,id_test,3,0.3057333333333333,0.009308538493710427,0.015333333333333332,0.005249338582674541
direct-long-lr5e-5,direct,ood_x4,3,0.19053333333333333,0.0015434449203720272,0.0,0.0
direct-long-lr5e-5,direct,ood_x8,3,0.19920000000000002,0.007207403600927777,0.0,0.0
direct-sinusoidal,direct,id_test,3,0.2885333333333333,0.009557312499977292,0.010666666666666666,0.0033993463423951896
direct-sinusoidal,direct,ood_x4,3,0.20199999999999999,0.00539629502529282,0.0,0.0
direct-sinusoidal,direct,ood_x8,3,0.2048,0.00539629502529282,0.0,0.0
recurrent-long-lr5e-5,recurrent,id_test,3,0.524,0.12048745439532975,0.2333333333333333,0.13139592417152401
recurrent-long-lr5e-5,recurrent,ood_x4,3,0.20519999999999997,0.0029393876913398186,0.0,0.0
recurrent-long-lr5e-5,recurrent,ood_x8,3,0.20133333333333336,0.004109609335312644,0.0,0.0
recurrent-sinusoidal,recurrent,id_test,3,0.40266666666666656,0.1497195006967659,0.11266666666666668,0.15650630090262252
recurrent-sinusoidal,recurrent,ood_x4,3,0.19493333333333332,0.0020997354330698163,0.0,0.0
recurrent-sinusoidal,recurrent,ood_x8,3,0.20679999999999998,0.0026733250207684636,0.0,0.0
