experiment,architecture,seed,split,slot_accuracy,exact_match
cot-sinusoidal,cot,0,id_test,1.0,1.0
cot-sinusoidal,cot,0,ood_x4,0.21,0.0
cot-sinusoidal,cot,0,ood_x8,0.2024,0.0
cot-sinusoidal,cot,1,id_test,1.0,1.0
cot-sinusoidal,cot,1,ood_x4,0.2064,0.0
cot-sinusoidal,cot,1,ood_x8,0.202,0.0
cot-sinusoidal,cot,2,id_test,1.0,1.0
cot-sinusoidal,cot,2,ood_x4,0.1984,0.0
cot-sinusoidal,cot,2,ood_x8,0.198,0.0
direct-long-lr5e-5,direct,0,id_test,0.2944,0.008
direct-long-lr5e-5,direct,0,ood_x4,0.192,0.0
direct-long-lr5e-5,direct,0,ood_x8,0.2084,0.0
direct-long-lr5e-5,direct,1,id_test,0.3172,0.02
direct-long-lr5e-5,direct,1,ood_x4,0.1884,0.0
direct-long-lr5e-5,direct,1,ood_x8,0.1984,0.0
direct-long-lr5e-5,direct,2,id_test,0.3056,0.018
direct-long-lr5e-5,direct,2,ood_x4,0.1912,0.0
direct-long-lr5e-5,direct,2,ood_x8,0.1908,0.0
direct-sinusoidal,direct,0,id_test,0.302,0.012
direct-sinusoidal,direct,0,ood_x4,0.1976,0.0
direct-sinusoidal,direct,0,ood_x8,0.2016,0.0
direct-sinusoidal,direct,1,id_test,0.2828,0.014
direct-sinusoidal,direct,1,ood_x4,0.1988,0.0
direct-sinusoidal,direct,1,ood_x8,0.2124,0.0
direct-sinusoidal,direct,2,id_test,0.2808,0.006
direct-sinusoidal,direct,2,ood_x4,0.2096,0.0
direct-sinusoidal,direct,2,ood_x8,0.2004,0.0
recurrent-long-lr5e-5,recurrent,0,id_test,0.6652,0.378
recurrent-long-lr5e-5,recurrent,0,ood_x4,0.2088,0.0
recurrent-long-lr5e-5,recurrent,0,ood_x8,0.202,0.0
recurrent-long-lr5e-5,recurrent,1,id_test,0.536,0.262
recurrent-long-lr5e-5,recurrent,1,ood_x4,0.2016,0.0
recurrent-long-lr5e-5,recurrent,1,ood_x8,0.206,0.0
recurrent-long-lr5e-5,recurrent,2,id_test,0.3708,0.06
recurrent-long-lr5e-5,recurrent,2,ood_x4,0.2052,0.0
recurrent-long-lr5e-5,recurrent,2,ood_x8,0.196,0.0
recurrent-sinusoidal,recurrent,0,id_test,0.6144,0.334
recurrent-sinusoidal,recurrent,0,ood_x4,0.1968,0.0
recurrent-sinusoidal,recurrent,0,ood_x8,0.206,0.0
recurrent-sinusoidal,recurrent,1,id_test,0.296,0.002
recurrent-sinusoidal,recurrent,1,ood_x4,0.192,0.0
recurrent-sinusoidal,recurrent,1,ood_x8,0.204,0.0
recurrent-sinusoidal,recurrent,2,id_test,0.2976,0.002
recurrent-sinusoidal,recurrent,2,ood_x4,0.196,0.0
recurrent-sinusoidal,recurrent,2,ood_x8,0.2104,0.0
